"","ensembl_gene_id_version","mgi_id","mgi_symbol","chromosome_name","strand","start_position","end_position","description","gene_biotype"
"104","ENSMUSG00000045954.8","MGI:99513","Cavin2","1",1,51328285,51342119,"caveolae associated 2 [Source:MGI Symbol;Acc:MGI:99513]","protein_coding"
"106","ENSMUSG00000067851.12","MGI:2442988","Arfgef1","1",-1,10207796,10302895,"ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:MGI Symbol;Acc:MGI:2442988]","protein_coding"
"109","ENSMUSG00000042501.13","MGI:3045348","Cpa6","1",-1,10394945,10790170,"carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348]","protein_coding"
"118","ENSMUSG00000026107.12","MGI:1923258","Nabp1","1",-1,51505021,51517584,"nucleic acid binding protein 1 [Source:MGI Symbol;Acc:MGI:1923258]","protein_coding"
"120","ENSMUSG00000048960.14","MGI:1923385","Prex2","1",1,11063689,11373905,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]","protein_coding"
"133","ENSMUSG00000018417.15","MGI:107752","Myo1b","1",-1,51788924,51955230,"myosin IB [Source:MGI Symbol;Acc:MGI:107752]","protein_coding"
"139","ENSMUSG00000062939.12","MGI:103062","Stat4","1",1,52026307,52146348,"signal transducer and activator of transcription 4 [Source:MGI Symbol;Acc:MGI:103062]","protein_coding"
"142","ENSMUSG00000016918.16","MGI:2138563","Sulf1","1",1,12762501,12931416,"sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563]","protein_coding"
"143","ENSMUSG00000025938.17","MGI:2443431","Slco5a1","1",-1,12936773,13062874,"solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]","protein_coding"
"146","ENSMUSG00000042414.8","MGI:3588194","Prdm14","1",-1,13183681,13197387,"PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194]","protein_coding"
"147","ENSMUSG00000005886.15","MGI:1276533","Ncoa2","1",-1,13209329,13444307,"nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:1276533]","protein_coding"
"157","ENSMUSG00000025935.11","MGI:1919515","Tram1","1",-1,13634922,13660134,"translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515]","protein_coding"
"158","ENSMUSG00000025937.7","MGI:2442551","Lactb2","1",-1,13693554,13730770,"lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]","protein_coding"
"160","ENSMUSG00000067813.4","MGI:2686466","Xkr9","1",1,13738995,13771947,"X-linked Kx blood group related 9 [Source:MGI Symbol;Acc:MGI:2686466]","protein_coding"
"166","ENSMUSG00000026104.15","MGI:103063","Stat1","1",1,52158599,52201024,"signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]","protein_coding"
"168","ENSMUSG00000025932.15","MGI:109344","Eya1","1",-1,14239178,14380459,"EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344]","protein_coding"
"171","ENSMUSG00000025930.7","MGI:1333884","Msc","1",-1,14823570,14826216,"musculin [Source:MGI Symbol;Acc:MGI:1333884]","protein_coding"
"175","ENSMUSG00000032769.6","MGI:3522699","Trpa1","1",-1,14942872,14989086,"transient receptor potential cation channel, subfamily A, member 1 [Source:MGI Symbol;Acc:MGI:3522699]","protein_coding"
"176","ENSMUSG00000026103.15","MGI:95752","Gls","1",-1,52202607,52272391,"glutaminase [Source:MGI Symbol;Acc:MGI:95752]","protein_coding"
"179","ENSMUSG00000002881.15","MGI:107564","Nab1","1",-1,52496453,52539838,"Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564]","protein_coding"
"181","ENSMUSG00000043015.16","MGI:2444113","Nemp2","1",1,52669862,52691078,"nuclear envelope integral membrane protein 2 [Source:MGI Symbol;Acc:MGI:2444113]","protein_coding"
"183","ENSMUSG00000041439.16","MGI:1922925","Mfsd6","1",-1,52695445,52766621,"major facilitator superfamily domain containing 6 [Source:MGI Symbol;Acc:MGI:1922925]","protein_coding"
"186","ENSMUSG00000026102.10","MGI:104848","Inpp1","1",-1,52824586,52856847,"inositol polyphosphate-1-phosphatase [Source:MGI Symbol;Acc:MGI:104848]","protein_coding"
"187","ENSMUSG00000041426.13","MGI:1923792","Hibch","1",1,52884088,52960145,"3-hydroxyisobutyryl-Coenzyme A hydrolase [Source:MGI Symbol;Acc:MGI:1923792]","protein_coding"
"190","ENSMUSG00000026100.7","MGI:95691","Mstn","1",1,53100799,53107238,"myostatin [Source:MGI Symbol;Acc:MGI:95691]","protein_coding"
"191","ENSMUSG00000025939.20","MGI:1914049","Ube2w","1",-1,16611014,16689713,"ubiquitin-conjugating enzyme E2W (putative) [Source:MGI Symbol;Acc:MGI:1914049]","protein_coding"
"193","ENSMUSG00000096141.3","MGI:2685838","Dnah7a","1",-1,53436165,53745943,"dynein, axonemal, heavy chain 7A [Source:MGI Symbol;Acc:MGI:2685838]","protein_coding"
"194","ENSMUSG00000026094.15","MGI:2138162","Stk17b","1",-1,53794665,53824383,"serine/threonine kinase 17b (apoptosis-inducing) [Source:MGI Symbol;Acc:MGI:2138162]","protein_coding"
"196","ENSMUSG00000079658.10","MGI:1915173","Eloc","1",-1,16711949,16727266,"elongin C [Source:MGI Symbol;Acc:MGI:1915173]","protein_coding"
"198","ENSMUSG00000025940.7","MGI:1915068","Tmem70","1",1,16735431,16748499,"transmembrane protein 70 [Source:MGI Symbol;Acc:MGI:1915068]","protein_coding"
"199","ENSMUSG00000025779.11","MGI:1341909","Ly96","1",1,16758275,16779835,"lymphocyte antigen 96 [Source:MGI Symbol;Acc:MGI:1341909]","protein_coding"
"204","ENSMUSG00000042686.6","MGI:1891495","Jph1","1",-1,17034784,17168113,"junctophilin 1 [Source:MGI Symbol;Acc:MGI:1891495]","protein_coding"
"205","ENSMUSG00000025777.9","MGI:1338002","Gdap1","1",1,17215586,17234495,"ganglioside-induced differentiation-associated-protein 1 [Source:MGI Symbol;Acc:MGI:1338002]","protein_coding"
"210","ENSMUSG00000042807.16","MGI:2685817","Hecw2","1",-1,53846035,54234327,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:2685817]","protein_coding"
"215","ENSMUSG00000025776.14","MGI:1934666","Crispld1","1",1,17797269,17836568,"cysteine-rich secretory protein LCCL domain containing 1 [Source:MGI Symbol;Acc:MGI:1934666]","protein_coding"
"222","ENSMUSG00000025983.12","MGI:1925266","Ccdc150","1",1,54289842,54407886,"coiled-coil domain containing 150 [Source:MGI Symbol;Acc:MGI:1925266]","protein_coding"
"223","ENSMUSG00000025774.15","MGI:1925331","Crisp4","1",-1,18185415,18216126,"cysteine-rich secretory protein 4 [Source:MGI Symbol;Acc:MGI:1925331]","protein_coding"
"224","ENSMUSG00000073735.2","MGI:3648148","Defb18","1",-1,18306697,18307667,"defensin beta 18 [Source:MGI Symbol;Acc:MGI:3648148]","protein_coding"
"225","ENSMUSG00000041303.8","MGI:2138383","Gtf3c3","1",-1,54435163,54478130,"general transcription factor IIIC, polypeptide 3 [Source:MGI Symbol;Acc:MGI:2138383]","protein_coding"
"227","ENSMUSG00000067773.7","MGI:1924923","Defb41","1",-1,18321204,18335362,"defensin beta 41 [Source:MGI Symbol;Acc:MGI:1924923]","protein_coding"
"233","ENSMUSG00000042596.8","MGI:2153466","Tfap2d","1",1,19173246,19236570,"transcription factor AP-2, delta [Source:MGI Symbol;Acc:MGI:2153466]","protein_coding"
"235","ENSMUSG00000073678.5","MGI:2443342","Pgap1","1",-1,54512153,54596843,"post-GPI attachment to proteins 1 [Source:MGI Symbol;Acc:MGI:2443342]","protein_coding"
"238","ENSMUSG00000025927.14","MGI:104672","Tfap2b","1",1,19279138,19308800,"transcription factor AP-2 beta [Source:MGI Symbol;Acc:MGI:104672]","protein_coding"
"243","ENSMUSG00000043760.17","MGI:2155808","Pkhd1","1",-1,20128003,20688288,"polycystic kidney and hepatic disease 1 [Source:MGI Symbol;Acc:MGI:2155808]","protein_coding"
"250","ENSMUSG00000025929.5","MGI:107364","Il17a","1",1,20801129,20804720,"interleukin 17A [Source:MGI Symbol;Acc:MGI:107364]","protein_coding"
"251","ENSMUSG00000041872.10","MGI:2676631","Il17f","1",-1,20847370,20860841,"interleukin 17F [Source:MGI Symbol;Acc:MGI:2676631]","protein_coding"
"252","ENSMUSG00000052331.15","MGI:3045243","Ankrd44","1",-1,54684499,54965546,"ankyrin repeat domain 44 [Source:MGI Symbol;Acc:MGI:3045243]","protein_coding"
"256","ENSMUSG00000041859.11","MGI:101845","Mcm3","1",-1,20873192,20890536,"minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845]","protein_coding"
"260","ENSMUSG00000025982.14","MGI:1932339","Sf3b1","1",-1,55024328,55066640,"splicing factor 3b, subunit 1 [Source:MGI Symbol;Acc:MGI:1932339]","protein_coding"
"262","ENSMUSG00000025931.16","MGI:1921479","Paqr8","1",1,20960830,21009874,"progestin and adipoQ receptor family member VIII [Source:MGI Symbol;Acc:MGI:1921479]","protein_coding"
"265","ENSMUSG00000041809.6","MGI:1919127","Efhc1","1",1,21021850,21061065,"EF-hand domain (C-terminal) containing 1 [Source:MGI Symbol;Acc:MGI:1919127]","protein_coding"
"266","ENSMUSG00000025981.14","MGI:1915126","Coq10b","1",1,55091929,55111861,"coenzyme Q10B [Source:MGI Symbol;Acc:MGI:1915126]","protein_coding"
"268","ENSMUSG00000041779.6","MGI:1924817","Tram2","1",-1,21066523,21149453,"translocating chain-associating membrane protein 2 [Source:MGI Symbol;Acc:MGI:1924817]","protein_coding"
"270","ENSMUSG00000025933.16","MGI:1922962","Tmem14a","1",1,21288799,21300391,"transmembrane protein 14A [Source:MGI Symbol;Acc:MGI:1922962]","protein_coding"
"272","ENSMUSG00000025980.15","MGI:96242","Hspd1","1",-1,55116994,55127402,"heat shock protein 1 (chaperonin) [Source:MGI Symbol;Acc:MGI:96242]","protein_coding"
"273","ENSMUSG00000073676.5","MGI:104680","Hspe1","1",1,55127291,55130466,"heat shock protein 1 (chaperonin 10) [Source:MGI Symbol;Acc:MGI:104680]","protein_coding"
"276","ENSMUSG00000025934.16","MGI:95856","Gsta3","1",1,21310813,21335885,"glutathione S-transferase, alpha 3 [Source:MGI Symbol;Acc:MGI:95856]","protein_coding"
"277","ENSMUSG00000067750.4","MGI:2676610","Khdc1a","1",1,21419865,21422424,"KH domain containing 1A [Source:MGI Symbol;Acc:MGI:2676610]","protein_coding"
"278","ENSMUSG00000041722.8","MGI:3583007","Khdc1c","1",1,21438555,21441069,"KH domain containing 1C [Source:MGI Symbol;Acc:MGI:3583007]","protein_coding"
"279","ENSMUSG00000025979.14","MGI:104899","Mob4","1",1,55170390,55194058,"MOB family member 4, phocein [Source:MGI Symbol;Acc:MGI:104899]","protein_coding"
"282","ENSMUSG00000085079.4","MGI:2138477","Khdc1b","1",1,21453780,21456597,"KH domain containing 1B [Source:MGI Symbol;Acc:MGI:2138477]","protein_coding"
"283","ENSMUSG00000025978.15","MGI:1921263","Rftn2","1",-1,55209318,55265941,"raftlin family member 2 [Source:MGI Symbol;Acc:MGI:1921263]","protein_coding"
"284","ENSMUSG00000046994.10","MGI:2444136","Mars2","1",1,55276336,55287629,"methionine-tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:2444136]","protein_coding"
"285","ENSMUSG00000028033.17","MGI:1924937","Kcnq5","1",-1,21468627,22032166,"potassium voltage-gated channel, subfamily Q, member 5 [Source:MGI Symbol;Acc:MGI:1924937]","protein_coding"
"289","ENSMUSG00000025977.16","MGI:1922638","Boll","1",-1,55287817,55402628,"boule homolog, RNA binding protein [Source:MGI Symbol;Acc:MGI:1922638]","protein_coding"
"293","ENSMUSG00000038349.11","MGI:3036262","Plcl1","1",1,55445080,55793444,"phospholipase C-like 1 [Source:MGI Symbol;Acc:MGI:3036262]","protein_coding"
"301","ENSMUSG00000073730.3","MGI:1914005","Ppp1r14bl","1",-1,23139554,23141334,"protein phosphatase 1, regulatory inhibitor subunit 14B like [Source:MGI Symbol;Acc:MGI:1914005]","protein_coding"
"309","ENSMUSG00000026158.12","MGI:1917405","Ogfrl1","1",-1,23405505,23436853,"opioid growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:1917405]","protein_coding"
"311","ENSMUSG00000026156.9","MGI:2389490","B3gat2","1",1,23800834,23888239,"beta-1,3-glucuronyltransferase 2 [Source:MGI Symbol;Acc:MGI:2389490]","protein_coding"
"312","ENSMUSG00000026155.14","MGI:2138261","Smap1","1",-1,23883927,23961398,"small ArfGAP 1 [Source:MGI Symbol;Acc:MGI:2138261]","protein_coding"
"313","ENSMUSG00000026154.5","MGI:1915252","Sdhaf4","1",-1,24035020,24044737,"succinate dehydrogenase complex assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915252]","protein_coding"
"315","ENSMUSG00000063558.5","MGI:88035","Aox1","1",1,58069090,58145572,"aldehyde oxidase 1 [Source:MGI Symbol;Acc:MGI:88035]","protein_coding"
"316","ENSMUSG00000026153.16","MGI:1915437","Fam135a","1",-1,24050174,24139422,"family with sequence similarity 135, member A [Source:MGI Symbol;Acc:MGI:1915437]","protein_coding"
"319","ENSMUSG00000064294.13","MGI:1918974","Aox3","1",1,58152289,58239857,"aldehyde oxidase 3 [Source:MGI Symbol;Acc:MGI:1918974]","protein_coding"
"321","ENSMUSG00000038242.13","MGI:1919122","Aox4","1",1,58249556,58307756,"aldehyde oxidase 4 [Source:MGI Symbol;Acc:MGI:1919122]","protein_coding"
"323","ENSMUSG00000079554.3","MGI:3529596","Aox2","1",1,58317485,58419418,"aldehyde oxidase 2 [Source:MGI Symbol;Acc:MGI:3529596]","protein_coding"
"325","ENSMUSG00000026147.17","MGI:88465","Col9a1","1",1,24216691,24291765,"collagen, type IX, alpha 1 [Source:MGI Symbol;Acc:MGI:88465]","protein_coding"
"326","ENSMUSG00000051223.15","MGI:1914132","Bzw1","1",1,58432057,58446512,"basic leucine zipper and W2 domains 1 [Source:MGI Symbol;Acc:MGI:1914132]","protein_coding"
"327","ENSMUSG00000026141.14","MGI:1095415","Col19a1","1",-1,24300971,24626553,"collagen, type XIX, alpha 1 [Source:MGI Symbol;Acc:MGI:1095415]","protein_coding"
"328","ENSMUSG00000026034.18","MGI:107403","Clk1","1",-1,58449348,58463225,"CDC-like kinase 1 [Source:MGI Symbol;Acc:MGI:107403]","protein_coding"
"329","ENSMUSG00000026035.16","MGI:1917475","Ppil3","1",-1,58470153,58484645,"peptidylprolyl isomerase (cyclophilin)-like 3 [Source:MGI Symbol;Acc:MGI:1917475]","protein_coding"
"330","ENSMUSG00000026036.18","MGI:1929485","Nif3l1","1",1,58484310,58520975,"Ngg1 interacting factor 3-like 1 (S. pombe) [Source:MGI Symbol;Acc:MGI:1929485]","protein_coding"
"331","ENSMUSG00000026037.15","MGI:1328306","Orc2","1",-1,58501930,58544268,"origin recognition complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1328306]","protein_coding"
"333","ENSMUSG00000038174.15","MGI:1098784","Hycc2","1",-1,58561965,58625482,"hyccin PI4KA lipid kinase complex subunit 2 [Source:MGI Symbol;Acc:MGI:1098784]","protein_coding"
"334","ENSMUSG00000026032.9","MGI:1913745","Ndufb3","1",1,58625543,58635123,"NADH:ubiquinone oxidoreductase subunit B3 [Source:MGI Symbol;Acc:MGI:1913745]","protein_coding"
"338","ENSMUSG00000047528.14","MGI:1918359","Flacc1","1",-1,58686062,58735148,"flagellum associated containing coiled-coil domains 1 [Source:MGI Symbol;Acc:MGI:1918359]","protein_coding"
"340","ENSMUSG00000026031.16","MGI:1336166","Cflar","1",1,58750667,58798043,"CASP8 and FADD-like apoptosis regulator [Source:MGI Symbol;Acc:MGI:1336166]","protein_coding"
"342","ENSMUSG00000026029.15","MGI:1261423","Casp8","1",1,58834533,58886662,"caspase 8 [Source:MGI Symbol;Acc:MGI:1261423]","protein_coding"
"345","ENSMUSG00000026028.13","MGI:1918077","Trak2","1",-1,58939608,59012589,"trafficking protein, kinesin binding 2 [Source:MGI Symbol;Acc:MGI:1918077]","protein_coding"
"349","ENSMUSG00000026058.12","MGI:2159649","Khdrbs2","1",1,32211795,32697649,"KH domain containing, RNA binding, signal transduction associated 2 [Source:MGI Symbol;Acc:MGI:2159649]","protein_coding"
"356","ENSMUSG00000091318.3","MGI:3644687","Semp2l1","1",-1,32582767,32586375,"SUMO/sentrin specific peptidase 2-like 1 [Source:MGI Symbol;Acc:MGI:3644687]","protein_coding"
"371","ENSMUSG00000026134.12","MGI:97758","Prim2","1",-1,33492891,33708876,"DNA primase, p58 subunit [Source:MGI Symbol;Acc:MGI:97758]","protein_coding"
"373","ENSMUSG00000026027.14","MGI:2144047","Stradb","1",1,59012681,59034874,"STE20-related kinase adaptor beta [Source:MGI Symbol;Acc:MGI:2144047]","protein_coding"
"374","ENSMUSG00000072295.8","MGI:1920713","C2cd6","1",-1,59036275,59134059,"C2 calcium dependent domain containing 6 [Source:MGI Symbol;Acc:MGI:1920713]","protein_coding"
"377","ENSMUSG00000038079.15","MGI:2138365","Tmem237","1",-1,59139749,59159567,"transmembrane protein 237 [Source:MGI Symbol;Acc:MGI:2138365]","protein_coding"
"378","ENSMUSG00000079550.10","MGI:2386681","Mpp4","1",-1,59160094,59202548,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) [Source:MGI Symbol;Acc:MGI:2386681]","protein_coding"
"380","ENSMUSG00000026024.15","MGI:1921268","Als2","1",-1,59202085,59276390,"alsin Rho guanine nucleotide exchange factor [Source:MGI Symbol;Acc:MGI:1921268]","protein_coding"
"381","ENSMUSG00000026023.17","MGI:3583944","Cdk15","1",1,59296065,59392152,"cyclin dependent kinase 15 [Source:MGI Symbol;Acc:MGI:3583944]","protein_coding"
"383","ENSMUSG00000026017.14","MGI:2182269","Carf","1",1,60137406,60193112,"calcium response factor [Source:MGI Symbol;Acc:MGI:2182269]","protein_coding"
"384","ENSMUSG00000073664.12","MGI:2444343","Nbeal1","1",1,60219758,60377487,"neurobeachin like 1 [Source:MGI Symbol;Acc:MGI:2444343]","protein_coding"
"386","ENSMUSG00000049439.14","MGI:1925201","Cyp20a1","1",1,60382482,60427219,"cytochrome P450, family 20, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1925201]","protein_coding"
"388","ENSMUSG00000026782.16","MGI:106913","Abi2","1",1,60448778,60520317,"abl interactor 2 [Source:MGI Symbol;Acc:MGI:106913]","protein_coding"
"389","ENSMUSG00000026014.16","MGI:1924550","Raph1","1",-1,60521451,60606263,"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:MGI Symbol;Acc:MGI:1924550]","protein_coding"
"394","ENSMUSG00000026012.3","MGI:88327","Cd28","1",1,60755959,60812518,"CD28 antigen [Source:MGI Symbol;Acc:MGI:88327]","protein_coding"
"399","ENSMUSG00000026011.14","MGI:88556","Ctla4","1",1,60926159,60954991,"cytotoxic T-lymphocyte-associated protein 4 [Source:MGI Symbol;Acc:MGI:88556]","protein_coding"
"401","ENSMUSG00000045174.11","MGI:3026939","Amer3","1",1,34618738,34630025,"APC membrane recruitment 3 [Source:MGI Symbol;Acc:MGI:3026939]","protein_coding"
"406","ENSMUSG00000026009.15","MGI:1858745","Icos","1",1,61017086,61039479,"inducible T cell co-stimulator [Source:MGI Symbol;Acc:MGI:1858745]","protein_coding"
"417","ENSMUSG00000052062.15","MGI:1919301","Pard3b","1",1,61677983,62681443,"par-3 family cell polarity regulator beta [Source:MGI Symbol;Acc:MGI:1919301]","protein_coding"
"430","ENSMUSG00000037509.22","MGI:2442507","Arhgef4","1",1,34717269,34852390,"Rho guanine nucleotide exchange factor 4 [Source:MGI Symbol;Acc:MGI:2442507]","protein_coding"
"433","ENSMUSG00000118272.2","MGI:6848416","Smim39","1",1,34840875,34841045,"small integral membrane protein 39 [Source:MGI Symbol;Acc:MGI:6848416]","protein_coding"
"435","ENSMUSG00000037503.13","MGI:2448487","Fam168b","1",-1,34852300,34882146,"family with sequence similarity 168, member B [Source:MGI Symbol;Acc:MGI:2448487]","protein_coding"
"437","ENSMUSG00000026123.12","MGI:2385825","Plekhb2","1",1,34889057,34918661,"pleckstrin homology domain containing, family B (evectins) member 2 [Source:MGI Symbol;Acc:MGI:2385825]","protein_coding"
"448","ENSMUSG00000045216.8","MGI:1354958","Hs6st1","1",1,36107481,36145527,"heparan sulfate 6-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1354958]","protein_coding"
"450","ENSMUSG00000037470.15","MGI:2443162","Uggt1","1",-1,36179108,36283801,"UDP-glucose glycoprotein glucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2443162]","protein_coding"
"452","ENSMUSG00000047180.9","MGI:2429944","Neurl3","1",-1,36303678,36313760,"neuralized E3 ubiquitin protein ligase 3 [Source:MGI Symbol;Acc:MGI:2429944]","protein_coding"
"453","ENSMUSG00000025969.16","MGI:1100492","Nrp2","1",1,62742444,62857854,"neuropilin 2 [Source:MGI Symbol;Acc:MGI:1100492]","protein_coding"
"455","ENSMUSG00000037447.17","MGI:2443039","Arid5a","1",1,36346814,36363110,"AT-rich interaction domain 5A [Source:MGI Symbol;Acc:MGI:2443039]","protein_coding"
"456","ENSMUSG00000010453.13","MGI:1918055","Kansl3","1",-1,36374811,36408262,"KAT8 regulatory NSL complex subunit 3 [Source:MGI Symbol;Acc:MGI:1918055]","protein_coding"
"458","ENSMUSG00000037432.16","MGI:3616091","Fer1l5","1",1,36411372,36461191,"fer-1 like family member 5 [Source:MGI Symbol;Acc:MGI:3616091]","protein_coding"
"459","ENSMUSG00000001143.14","MGI:2443010","Lman2l","1",-1,36458952,36484352,"lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]","protein_coding"
"460","ENSMUSG00000026116.12","MGI:1927110","Tmem131","1",-1,36831272,36982747,"transmembrane protein 131 [Source:MGI Symbol;Acc:MGI:1927110]","protein_coding"
"461","ENSMUSG00000026110.16","MGI:2662992","Mgat4a","1",-1,37478421,37580097,"mannoside acetylglucosaminyltransferase 4, isoenzyme A [Source:MGI Symbol;Acc:MGI:2662992]","protein_coding"
"462","ENSMUSG00000026090.17","MGI:1919347","Cracdl","1",-1,37650758,37759166,"capping protein inhibiting regulator of actin like [Source:MGI Symbol;Acc:MGI:1919347]","protein_coding"
"465","ENSMUSG00000060771.16","MGI:2685063","Tsga10","1",-1,37793857,37905510,"testis specific 10 [Source:MGI Symbol;Acc:MGI:2685063]","protein_coding"
